Fiscal Year,General Reserve,Notes,Fiscal Year_fy_start,General Reserve_num
FY17,"$1,000M",,2016-07-01,1000000000
FY18,"$1,200M",,2017-07-01,1200000000
FY19,"$1,150M",,2018-07-01,1150000000
FY20,"$1,150M",,2019-07-01,1150000000
FY21,$100M,COVID emergency — FEA statutory minimum,2020-07-01,100000000
FY22,$300M,Post-COVID recovery,2021-07-01,300000000
FY23,"$1,555M",,2022-07-01,1555000000
FY24,"$1,200M",,2023-07-01,1200000000
FY25,"$1,200M",,2024-07-01,1200000000
FY26 (Nov Plan),"$1,200M","Adams, published Nov 17 2025",2025-07-01,1200000000
FY26 (Prelim),$50M,Mamdani — mid-year drawdown,2025-07-01,50000000
FY27 (Prelim),$100M,Mamdani — FEA statutory minimum,2026-07-01,100000000
